OrgDefinedId,Username,End-of-Line Indicator
#50560677,#sumandha,#
#50560685,#akesanur,#
#50560686,#amalse,#
#50560688,#dsivapra,#
#50560694,#kavithae,#
#50560696,#reddykam,#
#50560698,#sudipkum,#
#50560699,#manishbi,#
#50560701,#anallana,#
#50560703,#anandpri,#
#50560708,#rapakara,#
#50560715,#anantha2,#
#50560719,#rthota2,#
#50560724,#sarvanna,#
#50560730,#lokeshko,#
#50560736,#parampar,#
#50560740,#ajaymood,#
#50560746,#satviksi,#
#50560751,#ganeshpr,#
#50560754,#rpodila,#
#50563882,#paragsha,#
#50563978,#shreyath,#
#50563983,#sedara,#
#50563988,#pjhade,#
#50565976,#xueyiyan,#
#50567285,#bhanunik,#
#50568057,#ritikran,#
#50568862,#tahsinfu,#
